issue_month,running_total_open_issues,org_name
2012-01-01,761.0,apache
2012-02-01,785.0,apache
2012-03-01,800.0,apache
2012-04-01,824.0,apache
2012-05-01,837.0,apache
2012-06-01,857.0,apache
2012-07-01,871.0,apache
2012-08-01,873.0,apache
2012-09-01,881.0,apache
2012-10-01,913.0,apache
2012-11-01,952.0,apache
2012-12-01,977.0,apache
2013-01-01,999.0,apache
2013-02-01,1009.0,apache
2013-03-01,1012.0,apache
2013-04-01,1027.0,apache
2013-05-01,1057.0,apache
2013-06-01,1088.0,apache
2013-07-01,1115.0,apache
2013-08-01,1122.0,apache
2013-09-01,1151.0,apache
2013-10-01,1188.0,apache
2013-11-01,1206.0,apache
2013-12-01,1206.0,apache
2014-01-01,1233.0,apache
2014-02-01,1279.0,apache
2014-03-01,1331.0,apache
2014-04-01,1367.0,apache
2014-05-01,1448.0,apache
2014-06-01,1522.0,apache
2014-07-01,1517.0,apache
2014-08-01,1601.0,apache
2014-09-01,1644.0,apache
2014-10-01,1674.0,apache
2014-11-01,1718.0,apache
2014-12-01,1709.0,apache
2015-01-01,1744.0,apache
2015-02-01,1784.0,apache
2015-03-01,1942.0,apache
2015-04-01,2285.0,apache
2015-05-01,2312.0,apache
2015-06-01,2465.0,apache
2015-07-01,2537.0,apache
2015-08-01,2680.0,apache
2015-09-01,2822.0,apache
2015-10-01,2958.0,apache
2015-11-01,3085.0,apache
2015-12-01,3270.0,apache
2016-01-01,3552.0,apache
2016-02-01,3652.0,apache
2016-03-01,3925.0,apache
2016-04-01,4241.0,apache
2016-05-01,4414.0,apache
2016-06-01,4721.0,apache
2016-07-01,4990.0,apache
2016-08-01,5299.0,apache
2016-09-01,5625.0,apache
2016-10-01,5983.0,apache
2016-11-01,6296.0,apache
2016-12-01,6662.0,apache
2017-01-01,7009.0,apache
2017-02-01,7337.0,apache
2017-03-01,7946.0,apache
2017-04-01,8176.0,apache
2017-05-01,8688.0,apache
2017-06-01,8879.0,apache
2017-07-01,9212.0,apache
2017-08-01,10070.0,apache
2017-09-01,9149.0,apache
2017-10-01,9450.0,apache
2017-11-01,9965.0,apache
2017-12-01,10449.0,apache
2018-01-01,11068.0,apache
2018-02-01,11317.0,apache
2018-03-01,11945.0,apache
2018-04-01,11848.0,apache
2018-05-01,12341.0,apache
2018-06-01,12760.0,apache
2018-07-01,12981.0,apache
2018-08-01,13479.0,apache
2018-09-01,13912.0,apache
2018-10-01,14362.0,apache
2018-11-01,14910.0,apache
2018-12-01,15323.0,apache
2019-01-01,16136.0,apache
2019-02-01,16358.0,apache
2019-03-01,16837.0,apache
2019-04-01,16959.0,apache
2019-05-01,17259.0,apache
2019-06-01,17576.0,apache
2019-07-01,17267.0,apache
2019-08-01,17583.0,apache
2019-09-01,18147.0,apache
2019-10-01,18616.0,apache
2019-11-01,19199.0,apache
2019-12-01,19606.0,apache
2020-01-01,19887.0,apache
2020-02-01,20332.0,apache
2020-03-01,20907.0,apache
2020-04-01,20658.0,apache
2020-05-01,21378.0,apache
2020-06-01,21816.0,apache
2020-07-01,22225.0,apache
2020-08-01,22667.0,apache
2020-09-01,23231.0,apache
2020-10-01,23766.0,apache
2020-11-01,24318.0,apache
2020-12-01,24990.0,apache
2021-01-01,25713.0,apache
2021-02-01,26711.0,apache
2021-03-01,27549.0,apache
2021-04-01,28118.0,apache
2021-05-01,28813.0,apache
2021-06-01,29617.0,apache
2021-07-01,30522.0,apache
2021-08-01,31220.0,apache
2021-09-01,31148.0,apache
2021-10-01,31194.0,apache
2021-11-01,31929.0,apache
2021-12-01,32709.0,apache
